-90426358G;OLHal2ZI;Nertie Boncore;8 Lakewood Trail;37,924152;-5,548795
0;37;37,094211:3,962462;37,550676:3,213965;4/12/2052 16:12;3121UTP
1;3;37,626514:3,694479;37,063234:3,434431;25/6/2023 16:12;4479UEC
2;6;37,190527:3,875210;37,552904:3,190252;3/5/2037 16:12;1721FWH
-26005835D;CmG14gA;Correy Roon;30 Gulseth Terrace;37,693085;-9,091136
3;16;37,221686:3,886258;37,979888:3,075869;29/10/2058 16:12;5160NFL
4;8;37,817530:3,810724;37,485519:3,753288;13/3/2056 16:12;6488YFB
-48985740Y;IkRmrHsDKax;Chris Mildner;3 Del Sol Road;37,098248;-6,975142
5;21;37,907956:3,146397;37,176489:3,850246;6/9/2028 16:12;8868ZUA
6;2;37,533158:3,914121;37,145238:3,721122;18/7/2046 16:12;9353ENE
7;80;37,587054:3,224616;37,208014:3,356792;19/11/2050 16:12;4568ZMU
-08359663D;Ade0AH0F;Phoebe Sollime;97934 Claremont Circle;36,764744;-5,175717
8;24;37,280740:3,038881;37,999115:3,721519;5/10/2053 16:12;4269SDA
9;45;37,377148:3,812372;37,734092:3,056154;20/1/2021 16:12;5074CCS
10;48;37,935911:3,177923;37,962310:3,325755;2/2/2036 16:12;1947ZSC
-13925493T;wMUlQHX;Berton Fortie;3 Old Gate Trail;41,756504;-5,573388
11;56;37,497787:3,099490;37,280831:3,981475;31/7/2052 16:12;0052UME
12;13;37,820429:3,650594;37,821589:3,679159;26/4/2033 16:12;2468ZJH
13;19;37,713187:3,510788;37,718314:3,629261;20/12/2058 16:12;0528UBI
14;11;37,839961:3,775781;37,883145:3,380902;26/8/2051 16:12;6538VTX
-10802133E;VCKiOwPQPG;Sibeal Gaine of England;32 Lighthouse Bay Road;40,002850;-1,157906
15;6;37,602039:3,472610;37,932279:3,085269;11/10/2026 16:12;9203FZM
16;34;37,014588:3,219001;37,065859:3,273873;5/9/2051 16:12;0857YZU
-63315108O;ynjIusa6x;Remy Enderby;1817 Straubel Crossing;41,483627;0,714960
17;20;37,158696:3,620808;37,287484:3,811213;7/10/2058 16:12;2616HOY
18;1;37,396283:3,528489;37,194189:3,877956;28/1/2036 16:12;3531KBG
19;6;37,368206:3,145665;37,818842:3,078005;2/9/2023 16:12;3394LRU
-99581749T;9H8IQb3k3;Morissa Hadwin;38148 School Place;39,984840;-2,647605
20;5;37,720420:3,866420;37,583422:3,508560;18/3/2032 16:12;3044TPB
21;8;37,957732:3,546922;37,289499:3,896786;15/8/2029 16:12;1295VQD
-11424361V;bL9Qkd1;April Hankard;564 Kipling Way;36,431473;-3,268491
22;28;37,340709:3,382275;37,939207:3,030122;22/11/2035 16:12;7087PXY
23;45;37,190344:3,747490;37,160344:3,100406;29/5/2020 16:12;8889BXC
24;93;37,214240:3,740318;37,774346:3,465194;13/11/2056 16:12;0002JEU
25;1;37,867916:3,918943;37,843135:3,909848;28/12/2035 16:12;0052CAS
26;5;37,244758:3,098544;37,729179:3,210303;17/4/2041 16:12;3801TGV
-65332406V;vS2pRVR;Clint Brimmicombe;1 Bartelt Terrace;36,681503;3,246747
27;12;37,551164:3,857631;37,464003:3,101627;15/10/2023 16:12;0929OVX
28;56;37,255989:3,700034;37,840144:3,771752;11/12/2040 16:12;0609VSJ
29;39;37,963897:3,737144;37,583178:3,571032;4/11/2025 16:12;5770ZTC
30;25;37,283639:3,407422;37,908017:3,029145;29/9/2053 16:12;6201SGL
-66520335R;egiSFBsxc6;Leone Ciciura;35416 Canary Circle;41,529957;-5,979200
